,lon,lat,alt,NAME,population,area,density
97,121.39,23.111,17,臺東縣成功鎮,14238,143.9939,99
98,121.34,23.121,514,臺東縣成功鎮,14238,143.9939,99
99,121.38,23.191,150,臺東縣成功鎮,14238,143.9939,99
100,121.32,23.021,104,臺東縣成功鎮,14238,143.9939,99
101,121.36,23.191,533,臺東縣成功鎮,14238,143.9939,99
102,121.4,23.131,7,臺東縣成功鎮,14238,143.9939,99
103,121.4,23.121,31,臺東縣成功鎮,14238,143.9939,99
104,121.33,23.131,1066,臺東縣成功鎮,14238,143.9939,99
105,121.37,23.121,202,臺東縣成功鎮,14238,143.9939,99
106,121.38,23.201,250,臺東縣成功鎮,14238,143.9939,99
107,121.35,23.161,554,臺東縣成功鎮,14238,143.9939,99
108,121.33,23.151,1334,臺東縣成功鎮,14238,143.9939,99
109,121.38,23.211,170,臺東縣成功鎮,14238,143.9939,99
110,121.33,23.121,809,臺東縣成功鎮,14238,143.9939,99
111,121.36,23.201,461,臺東縣成功鎮,14238,143.9939,99
112,121.38,23.151,248,臺東縣成功鎮,14238,143.9939,99
113,121.3,22.981,47,臺東縣成功鎮,14238,143.9939,99
114,121.37,23.131,109,臺東縣成功鎮,14238,143.9939,99
115,121.35,23.131,412,臺東縣成功鎮,14238,143.9939,99
116,121.33,23.101,609,臺東縣成功鎮,14238,143.9939,99
117,121.41,23.121,-1,臺東縣成功鎮,14238,143.9939,99
118,121.38,23.131,61,臺東縣成功鎮,14238,143.9939,99
119,121.39,23.141,89,臺東縣成功鎮,14238,143.9939,99
120,121.36,23.131,242,臺東縣成功鎮,14238,143.9939,99
121,121.4,23.211,9,臺東縣成功鎮,14238,143.9939,99
122,121.4,23.161,26,臺東縣成功鎮,14238,143.9939,99
123,121.35,23.101,159,臺東縣成功鎮,14238,143.9939,99
124,121.34,23.061,52,臺東縣成功鎮,14238,143.9939,99
125,121.393,23.12,46,臺東縣成功鎮,14238,143.9939,99
126,121.32,23.111,1309,臺東縣成功鎮,14238,143.9939,99
127,121.39,23.191,66,臺東縣成功鎮,14238,143.9939,99
128,121.37,23.191,537,臺東縣成功鎮,14238,143.9939,99
129,121.36,23.121,173,臺東縣成功鎮,14238,143.9939,99
130,121.39,23.131,38,臺東縣成功鎮,14238,143.9939,99
131,121.32,23.101,947,臺東縣成功鎮,14238,143.9939,99
132,121.35,23.121,303,臺東縣成功鎮,14238,143.9939,99
133,121.382,23.102,17,臺東縣成功鎮,14238,143.9939,99
134,121.34,23.101,281,臺東縣成功鎮,14238,143.9939,99
135,121.38,23.101,17,臺東縣成功鎮,14238,143.9939,99
136,120.54,22.421,2,屏東縣佳冬鄉,19380,30.9842,625
137,120.57,22.421,15,屏東縣佳冬鄉,19380,30.9842,625
138,120.56371,22.41036,9,屏東縣佳冬鄉,19380,30.9842,625
139,120.53,22.431,1,屏東縣佳冬鄉,19380,30.9842,625
140,120.55029,22.42756,7,屏東縣佳冬鄉,19380,30.9842,625
141,120.55,22.431,8,屏東縣佳冬鄉,19380,30.9842,625
142,120.53,22.441,1,屏東縣佳冬鄉,19380,30.9842,625
143,120.57,22.451,16,屏東縣佳冬鄉,19380,30.9842,625
144,120.56,22.431,12,屏東縣佳冬鄉,19380,30.9842,625
145,120.55,22.401,2,屏東縣佳冬鄉,19380,30.9842,625
146,120.54,22.431,3,屏東縣佳冬鄉,19380,30.9842,625
147,120.55,22.451,9,屏東縣佳冬鄉,19380,30.9842,625
148,120.52,22.421,0,屏東縣佳冬鄉,19380,30.9842,625
149,120.552,22.422,6,屏東縣佳冬鄉,19380,30.9842,625
150,120.56177,22.42527,11,屏東縣佳冬鄉,19380,30.9842,625
151,120.527,22.426,1,屏東縣佳冬鄉,19380,30.9842,625
152,120.525,22.409,2,屏東縣佳冬鄉,19380,30.9842,625
153,120.561,22.447,13,屏東縣佳冬鄉,19380,30.9842,625
154,120.56,22.421,9,屏東縣佳冬鄉,19380,30.9842,625
155,120.56269,22.40973,8,屏東縣佳冬鄉,19380,30.9842,625
156,120.54,22.451,6,屏東縣佳冬鄉,19380,30.9842,625
157,120.52716,22.43485,2,屏東縣佳冬鄉,19380,30.9842,625
158,120.526,22.41,0,屏東縣佳冬鄉,19380,30.9842,625
159,120.56,22.451,13,屏東縣佳冬鄉,19380,30.9842,625
160,120.55,22.421,5,屏東縣佳冬鄉,19380,30.9842,625
161,120.56273,22.43197,14,屏東縣佳冬鄉,19380,30.9842,625
162,120.567,22.429,16,屏東縣佳冬鄉,19380,30.9842,625
163,120.53,22.411,0,屏東縣佳冬鄉,19380,30.9842,625
164,120.54,22.401,3,屏東縣佳冬鄉,19380,30.9842,625
165,120.54057,22.42838,4,屏東縣佳冬鄉,19380,30.9842,625
166,120.565,22.427,14,屏東縣佳冬鄉,19380,30.9842,625
167,120.57,22.441,17,屏東縣佳冬鄉,19380,30.9842,625
168,120.53,22.421,2,屏東縣佳冬鄉,19380,30.9842,625
169,120.54,22.411,1,屏東縣佳冬鄉,19380,30.9842,625
170,120.566,22.428,15,屏東縣佳冬鄉,19380,30.9842,625
171,120.55,22.441,8,屏東縣佳冬鄉,19380,30.9842,625
172,120.56,22.461,8,屏東縣佳冬鄉,19380,30.9842,625
173,120.56388,22.41265,9,屏東縣佳冬鄉,19380,30.9842,625
174,120.55,22.411,4,屏東縣佳冬鄉,19380,30.9842,625
175,120.54,22.441,5,屏東縣佳冬鄉,19380,30.9842,625
176,120.54,22.45,6,屏東縣佳冬鄉,19380,30.9842,625
