"station_id","station_name","station_address","lat","lon"
"74DA38F7C444","新北市烏來國中","N/A","24.863","121.553"
"74DA38F2111A","新竹縣備品","新竹縣","24.827","121.032"
"74DA38F211BA","屏東縣縣立舊寮國小","[906]屏東縣高樹鄉舊寮村長美路42號","22.848","120.61"
"08BEAC0A03E0","桃園市市立三和國小","桃園市龍潭區龍新路三和段1356號","24.8481239687","121.16799362"
"74DA38F7C48A","新北市忠孝國中","N/A","25.004","121.461"
"74DA38F208BA","宜蘭縣縣立三星國小","[266]宜蘭縣三星鄉三星路五段86號","24.666","121.65"
"74DA38F20B66","苗栗縣縣立建國國小","[351]苗栗縣頭份市建國路80號","24.695","120.912"
"74DA38F208E0","宜蘭縣縣立南安國小","[270]宜蘭縣蘇澳鎮南建里學府路122號","24.579","121.868"
"74DA38F207EC","苗栗縣縣立大同國小","[360]苗栗縣苗栗市高苗里大同路80號","24.552","120.814"
"74DA38F2082E","宜蘭縣縣立大里國小","[261]宜蘭縣頭城鎮濱海路七段65號","24.935","121.887"
"74DA38F7C490","新北市江翠國中","N/A","25.028","121.468"
"74DA38F20FDC","屏東縣縣立鹽洲國小","[932]屏東縣新園鄉鹽埔村鹽洲路379號","22.488","120.44"
"74DA38F208F4","苗栗縣縣立鯉魚國小","[367]苗栗縣三義鄉鯉魚潭村上山下24號","24.343","120.767"
"74DA38F20848","宜蘭縣縣立七賢國小","[264]宜蘭縣員山鄉浮洲路30號","24.719","121.743"
"74DA38F2084E","宜蘭縣縣立同樂國小","[264]宜蘭縣員山鄉同樂村新城路84之4號","24.763","121.728"
"74DA38F7C61A","市立光復國小","臺北市信義區光復南路271號","25.041","121.565"
"08BEAC0A0236","臺中市立豐村國小","42084臺中市豐原區水源路341號","24.25523866","120.7364315"
"74DA38F20852","苗栗縣縣立中正國小","[358]苗栗縣苑裡鎮中正里111號","24.428","120.661"
"74DA38F20BE2","高雄市市立溪埔國中","高雄市立溪埔國民中學 高雄市大樹區溪埔里溪埔路1號","22.719","120.443"
